@relation training
@attribute home_avg numeric
@attribute home_obp numeric
@attribute home_slg numeric
@attribute home_ops numeric
@attribute home_era numeric
@attribute away_avg numeric
@attribute away_obp numeric
@attribute away_slg numeric
@attribute away_ops numeric
@attribute away_era numeric
@attribute winner {True,False}

@data
0.113636363636,0.113636363636,0.295454545455,0.409090909091,4.5,0.2417,0.275,0.4667,0.7417,1.29,False
0.1877,0.311454545455,0.3998,0.6424,0.0,0.260727272727,0.373833333333,0.357,0.673909090909,5.4,True
0.2465,0.261,0.4878,0.7487,6.0,0.258,0.292909090909,0.442272727273,0.735181818182,5.4,False
0.877916666667,12.3333333333,7.41666666667,0.0161333333333,1.5,0.611,10.9090909091,7.0,-0.0184285714286,7.2,True
0.258909090909,0.338636363636,0.403909090909,0.742545454545,21.6,0.3,0.393454545455,0.452090909091,0.845545454545,1.5,False
0.2502,0.3222,0.4075,0.7298,3.0,0.290727272727,0.348181818182,0.427818181818,0.776,3.95,True
0.259909090909,0.351909090909,0.431636363636,0.783636363636,24.3,0.252538461538,0.336076923077,0.488076923077,0.824153846154,5.25,False
0.208272727273,0.274727272727,0.376454545455,0.651272727273,1.29,0.231461538462,0.301538461538,0.364846153846,0.666384615385,3.5,True
0.254272727273,0.314363636364,0.423818181818,0.738,7.31,0.2861,0.3655,0.4638,0.8292,5.19,False
0.223272727273,0.298363636364,0.388,0.686272727273,3.6,0.334636363636,0.395181818182,0.582,0.977181818182,3.81,True
0.250153846154,0.310692307692,0.375076923077,0.686076923077,5.11,0.226272727273,0.286363636364,0.410818181818,0.697363636364,3.0,False
0.257916666667,0.30675,0.398833333333,0.705666666667,2.92,0.252363636364,0.322909090909,0.435909090909,0.758727272727,4.43,True
0.23175,0.289416666667,0.358916666667,0.64825,7.71,0.252166666667,0.303166666667,0.4315,0.734583333333,4.88,False
0.2455,0.3189,0.4113,0.7302,3.07,0.249583333333,0.311666666667,0.436666666667,0.748166666667,7.32,True
0.283,0.349928571429,0.445714285714,0.795571428571,3.95,0.231615384615,0.297,0.385923076923,0.682923076923,7.0,True
0.256615384615,0.315307692308,0.403153846154,0.718230769231,5.06,0.249416666667,0.326416666667,0.405333333333,0.731666666667,3.48,True
0.245166666667,0.31275,0.371166666667,0.683666666667,4.82,0.24,0.312833333333,0.405916666667,0.718666666667,4.3,True
0.227928571429,0.275357142857,0.344714285714,0.620071428571,3.86,0.247846153846,0.320230769231,0.394769230769,0.714846153846,4.23,True
0.2682,0.3341,0.4115,0.7456,2.66,0.2665,0.334833333333,0.438083333333,0.772916666667,7.43,True
0.239461538462,0.299153846154,0.370538461538,0.669615384615,5.71,0.235090909091,0.315272727273,0.396363636364,0.711909090909,3.24,False
0.226,0.277428571429,0.354857142857,0.632428571429,2.35,0.235461538462,0.304615384615,0.387615384615,0.692384615385,4.42,False
0.219166666667,0.286583333333,0.413833333333,0.700666666667,6.8,0.279111111111,0.363555555556,0.489666666667,0.853222222222,4.79,False
0.216230769231,0.276230769231,0.409538461538,0.685769230769,6.45,0.224166666667,0.288666666667,0.366333333333,0.65475,6.28,False
0.30375,0.36425,0.473833333333,0.838,2.82,0.245642857143,0.306357142857,0.372071428571,0.678785714286,9.0,True
0.216357142857,0.289714285714,0.364642857143,0.654285714286,5.0,0.2090625,0.272,0.3330625,0.6050625,3.46,False
0.237,0.3195,0.409333333333,0.728666666667,3.77,0.256545454545,0.328090909091,0.416727272727,0.744636363636,4.38,False
0.226909090909,0.293272727273,0.375454545455,0.668727272727,0.93,0.215,0.276076923077,0.346538461538,0.622692307692,4.27,True
0.314230769231,0.397076923077,0.487692307692,0.884692307692,5.04,0.246,0.317363636364,0.41,0.727363636364,4.83,False
0.324416666667,0.415333333333,0.505583333333,0.921,3.21,0.207142857143,0.262857142857,0.339,0.601714285714,5.38,True
0.308642857143,0.399571428571,0.476142857143,0.875642857143,4.48,0.241166666667,0.314916666667,0.398166666667,0.712916666667,3.17,False
0.303071428571,0.375214285714,0.458142857143,0.833357142857,3.69,0.209933333333,0.270066666667,0.339,0.609133333333,4.39,True
0.235916666667,0.29825,0.345,0.643416666667,1.49,0.207769230769,0.275384615385,0.342769230769,0.618076923077,4.45,True
0.2096875,0.267375,0.322375,0.5896875,7.53,0.2891,0.3672,0.4723,0.8395,4.61,False
0.253733333333,0.312,0.364266666667,0.6762,2.66,0.219818181818,0.283363636364,0.364181818182,0.647636363636,5.18,False
0.247272727273,0.323545454545,0.391,0.714454545455,4.83,0.2615,0.3305,0.4389,0.7694,4.59,False
0.292083333333,0.354416666667,0.463166666667,0.817583333333,2.48,0.244,0.305785714286,0.396642857143,0.702571428571,4.65,True
0.256357142857,0.374357142857,0.395857142857,0.770071428571,5.16,0.230153846154,0.282692307692,0.368461538462,0.651,4.9,True
0.233142857143,0.3295,0.332642857143,0.662285714286,3.78,0.195428571429,0.249142857143,0.323357142857,0.572571428571,4.74,False
0.240285714286,0.296571428571,0.353714285714,0.650285714286,3.02,0.196466666667,0.256066666667,0.310266666667,0.566466666667,4.43,True
0.269166666667,0.33575,0.391666666667,0.727416666667,4.06,0.257,0.316363636364,0.421727272727,0.738090909091,4.38,True
0.216769230769,0.268461538462,0.338538461538,0.607,3.31,0.238416666667,0.302916666667,0.388833333333,0.69175,4.16,True
0.214818181818,0.284454545455,0.352,0.636454545455,2.96,0.195466666667,0.248733333333,0.323666666667,0.5726,3.38,True
0.216230769231,0.270230769231,0.343615384615,0.613692307692,3.61,0.240416666667,0.301166666667,0.390333333333,0.691583333333,4.92,True
